Predictor variable,Categorical,Sample average
cld6190_ann,false,71.74193548387096
dtr6190_ann,false,125.3225806451613
ecoreg,false,10.451612903225806
frs6190_ann,false,38.0
h_dem,false,2251.6451612903224
pre6190_ann,false,35.096774193548384
pre6190_l1,false,32.96774193548387
pre6190_l10,false,42.61290322580645
pre6190_l4,false,46.225806451612904
pre6190_l7,false,23.193548387096776
tmn6190_ann,false,88.64516129032258
tmp6190_ann,false,164.90322580645162
tmx6190_ann,false,236.8709677419355
vap6190_ann,false,148.19354838709677
