Predictor variable,Categorical,Sample average
cld6190_ann,false,71.19354838709677
dtr6190_ann,false,121.0
ecoreg,false,10.516129032258064
frs6190_ann,false,28.419354838709676
h_dem,false,2424.516129032258
pre6190_ann,false,36.45161290322581
pre6190_l1,false,30.741935483870968
pre6190_l10,false,47.38709677419355
pre6190_l4,false,45.03225806451613
pre6190_l7,false,26.06451612903226
tmn6190_ann,false,96.2258064516129
tmp6190_ann,false,170.96774193548387
tmx6190_ann,false,240.29032258064515
vap6190_ann,false,153.8709677419355
