Predictor variable,Categorical,Sample average
cld6190_ann,false,67.36585365853658
dtr6190_ann,false,98.53658536585365
ecoreg,false,8.926829268292684
frs6190_ann,false,2.317073170731707
h_dem,false,233.1219512195122
pre6190_ann,false,63.51219512195122
pre6190_l1,false,50.5609756097561
pre6190_l10,false,77.36585365853658
pre6190_l4,false,61.46341463414634
pre6190_l7,false,64.41463414634147
tmn6190_ann,false,187.2439024390244
tmp6190_ann,false,249.17073170731706
tmx6190_ann,false,312.9268292682927
vap6190_ann,false,259.4146341463415
