Predictor variable,Categorical,Sample average
cld6190_ann,false,69.82926829268293
dtr6190_ann,false,95.73170731707317
ecoreg,false,9.414634146341463
frs6190_ann,false,1.7560975609756098
h_dem,false,289.8780487804878
pre6190_ann,false,66.21951219512195
pre6190_l1,false,56.048780487804876
pre6190_l10,false,78.09756097560975
pre6190_l4,false,74.0
pre6190_l7,false,58.21951219512195
tmn6190_ann,false,190.609756097561
tmp6190_ann,false,249.390243902439
tmx6190_ann,false,310.0975609756098
vap6190_ann,false,261.3414634146341
