X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-64.7,-17.85,train,0.0024298087438598126,29.49143727270185,0.6215927951786258
-67.8333,-16.3333,train,0.001753804962539131,23.43228945566648,0.5041201341060846
-72.5667,-13.1167,train,9.093602426996154E-4,15.746763995045312,0.30489477377349317
-73.8167,-12.7833,train,0.004176491190595721,50.81468409218451,0.8118202000767363
-75.8667,-10.4667,train,0.003585638514770984,45.73032666455831,0.7616583532251371
-76.0333,-9.7,train,0.007031839056854755,75.86078586853257,0.9399353070098019
-77.7,-6.63333,train,0.006710771651470404,72.39167707766065,0.9317053945472649
-77.3333,-6.11667,train,0.004658432253793222,54.82122792665983,0.844810173908008
-77.95,-5.88333,train,0.006014753753168973,68.55216735112401,0.9097847848049694
-79.6667,-3.66667,train,0.0025921056381156137,30.97483624374284,0.6453748165989717
-78.9833,-2.28333,train,8.694061127422425E-4,15.289608857709498,0.2936982150943753
-78.4333,-1.45,train,0.008119079725738389,84.02079707931993,0.9611157933284311
-78.4833,-1.36667,train,0.009802541194818364,93.9208347988186,0.9801679373631212
-77.8833,-0.45,train,0.0032844347647693795,42.976269190666976,0.731145755052077
-78.3833,-0.36667,train,0.008898704760953296,88.31509854803724,0.9715319391757661
-78.8333,0.116667,train,0.0014398087798523026,20.718035930296733,0.43776821723767845
-76.3,2.483333,train,0.0028070754218864078,34.4839733434543,0.6745900399809058
-74.5333,4.75,train,0.0012060719128616257,18.57890615988213,0.38267504408721464
-74.6333,4.85,train,0.0010198279594455912,16.867963396291742,0.33493653257698996
-71.4,8.6,train,0.008680772197907114,86.54033404476733,0.9689393005879611
-71.0833,8.75,train,0.010453212087724432,98.94467431482755,0.9847119902611248
-71.25,8.833333,train,0.009894572563369905,95.89331153064485,0.9808846309446378
-66.8667,10.55,train,0.0010765956389113792,17.342313933939117,0.3498658971108508
-73.65,10.71667,train,0.007506985656732203,82.43000876415803,0.9503305151331111
-77.8333,-6.75,train,0.005680866261722772,66.79173750570394,0.8968964339473743
-79.0167,-3.41667,train,0.006925030796900351,73.75798532863472,0.9373139216218198
-79.1333,-2.85,train,0.006994489675290543,74.45742300223763,0.939031349099551
-78.9667,-2.4,train,0.00505847787062045,58.75266370457122,0.8677553381054518
-78.55,-0.16667,train,0.009544210147074617,92.94053891108655,0.978009345142888
-78.2667,0.13333,train,0.010554516275891076,100.0,0.9853190172184967
-75.3833,4.96667,train,0.002062676004977135,26.34337742493415,0.561744113276329
-76.9167,2.583333,test,8.773645209052949E-4,15.37464858812063,0.2959427345271033
-74.3667,4.35,test,0.005035175654200122,58.463003593389395,0.866517116144958
-78.4167,0.116667,test,0.00678351073816531,73.23294502842768,0.9336635639459018
-77.8167,0.6,test,0.005668213673150427,66.70027096148935,0.8963733755220902
-79.4333,-2.8,test,0.006585817649876566,71.93978953893065,0.9282056897913273
-73.8667,4.866667,test,0.0024192080478765846,29.399714072342654,0.6199850672068166
-70.9167,-13.5,test,9.947588782951583E-5,6.595155253765161,0.03900364272718615
-78.4,-0.21667,test,0.00938894697298867,92.04675188519654,0.976600516127315
-75.5,4.583333,test,0.0017005790386378642,23.01192741679739,0.49345102391794304
-78.5833,-0.05,test,0.00653389859138727,71.75204211370924,0.9266993204855726
-72.35,-12.8833,test,0.0017060750401575626,23.04420373537863,0.4945632393032262
-76.0667,6.466667,test,3.3833892982495275E-4,9.306328423236002,0.12656031668899803
-76.15,-9.7,test,0.006209988747646823,69.88118288354562,0.9165610460331933
-63.5333,10.2,test,8.626679354634523E-5,6.238729795753159,0.03391337900908897
-71.0167,8.6,test,0.008861560828139681,87.69247376172727,0.9711058765729462
-78.4167,-1.4,test,0.006784179784030204,73.2354271687975,0.9336813118779136
-76.2333,-9.9167,test,0.004051819544727049,49.446940052501525,0.8021994084549472
-76.5667,1.95,test,0.0025185077679368982,30.62099232849186,0.6347813025608511
-76.6,1.916667,test,0.002623252662600563,31.6062952948355,0.6497649909690546
-67.8833,-16.3,test,8.420435426152711E-4,15.113274920362887,0.2859263807642177
-76.4833,1.95,test,0.0019861692633378024,25.206587403830966,0.5481269520400205
-71.15,8.6,test,0.007383239282245471,80.04796479733069,0.9478104531031748
-75.55,6.166667,test,0.001198205174964649,18.445259885550957,0.3807297300281792
-76.95,2.533333,test,9.522223784364224E-4,16.203472287813277,0.31670899467472524
-75.45,7.083333,test,6.031109376440063E-4,12.4031984033816,0.21432326488350795
-79.6833,-3.63333,test,0.0031200135594394696,40.60639849108736,0.7128718987035508
-78.6,-0.1,test,0.009108533225662898,89.82009337818852,0.9738234646570298
-79.6,-5.4,test,1.2740655671711234E-4,7.167392758749701,0.04967887883572297
-72.4333,7.45,test,4.140418450030444E-4,10.341803219860346,0.1526089782830321
-67.9833,-15.9,test,0.0013292096351197637,19.535502913939347,0.4123406070935667
