Predictor variable,Categorical,Sample average
cld6190_ann,false,67.48780487804878
dtr6190_ann,false,98.92682926829268
ecoreg,false,8.78048780487805
frs6190_ann,false,2.6341463414634148
h_dem,false,265.3170731707317
pre6190_ann,false,64.2439024390244
pre6190_l1,false,53.24390243902439
pre6190_l10,false,75.92682926829268
pre6190_l4,false,67.26829268292683
pre6190_l7,false,63.53658536585366
tmn6190_ann,false,187.14634146341464
tmp6190_ann,false,248.21951219512195
tmx6190_ann,false,311.3170731707317
vap6190_ann,false,257.1951219512195
