Predictor variable,Categorical,Sample average
cld6190_ann,false,70.74193548387096
dtr6190_ann,false,128.80645161290323
ecoreg,false,10.258064516129032
frs6190_ann,false,39.41935483870968
h_dem,false,2445.6451612903224
pre6190_ann,false,31.419354838709676
pre6190_l1,false,35.58064516129032
pre6190_l10,false,36.29032258064516
pre6190_l4,false,41.58064516129032
pre6190_l7,false,16.258064516129032
tmn6190_ann,false,79.70967741935483
tmp6190_ann,false,160.38709677419354
tmx6190_ann,false,234.90322580645162
vap6190_ann,false,136.80645161290323
