Predictor variable,Categorical,Sample average
cld6190_ann,false,72.83870967741936
dtr6190_ann,false,127.09677419354838
ecoreg,false,10.516129032258064
frs6190_ann,false,35.12903225806452
h_dem,false,2554.3870967741937
pre6190_ann,false,33.03225806451613
pre6190_l1,false,27.70967741935484
pre6190_l10,false,42.935483870967744
pre6190_l4,false,45.16129032258065
pre6190_l7,false,21.612903225806452
tmn6190_ann,false,83.93548387096774
tmp6190_ann,false,160.61290322580646
tmx6190_ann,false,232.80645161290323
vap6190_ann,false,141.4516129032258
