Predictor variable,Categorical,Sample average
cld6190_ann,false,72.12903225806451
dtr6190_ann,false,132.5483870967742
ecoreg,false,10.516129032258064
frs6190_ann,false,41.064516129032256
h_dem,false,2523.6774193548385
pre6190_ann,false,32.41935483870968
pre6190_l1,false,32.483870967741936
pre6190_l10,false,39.483870967741936
pre6190_l4,false,44.67741935483871
pre6190_l7,false,17.193548387096776
tmn6190_ann,false,79.29032258064517
tmp6190_ann,false,159.96774193548387
tmx6190_ann,false,235.3548387096774
vap6190_ann,false,139.06451612903226
