Predictor variable,Categorical,Sample average
cld6190_ann,false,71.80645161290323
dtr6190_ann,false,124.6774193548387
ecoreg,false,10.451612903225806
frs6190_ann,false,35.70967741935484
h_dem,false,2475.7741935483873
pre6190_ann,false,36.516129032258064
pre6190_l1,false,35.096774193548384
pre6190_l10,false,45.25806451612903
pre6190_l4,false,48.32258064516129
pre6190_l7,false,22.322580645161292
tmn6190_ann,false,86.51612903225806
tmp6190_ann,false,163.4516129032258
tmx6190_ann,false,234.09677419354838
vap6190_ann,false,145.74193548387098
