Predictor variable,Categorical,Sample average
cld6190_ann,false,71.87096774193549
dtr6190_ann,false,130.2258064516129
ecoreg,false,10.193548387096774
frs6190_ann,false,45.193548387096776
h_dem,false,2457.4193548387098
pre6190_ann,false,34.774193548387096
pre6190_l1,false,37.225806451612904
pre6190_l10,false,40.645161290322584
pre6190_l4,false,45.25806451612903
pre6190_l7,false,19.483870967741936
tmn6190_ann,false,77.90322580645162
tmp6190_ann,false,157.83870967741936
tmx6190_ann,false,232.58064516129033
vap6190_ann,false,138.5483870967742
