Predictor variable,Categorical,Sample average
cld6190_ann,false,71.54838709677419
dtr6190_ann,false,119.64516129032258
ecoreg,false,10.838709677419354
frs6190_ann,false,32.354838709677416
h_dem,false,2582.516129032258
pre6190_ann,false,41.516129032258064
pre6190_l1,false,38.806451612903224
pre6190_l10,false,54.03225806451613
pre6190_l4,false,53.70967741935484
pre6190_l7,false,24.806451612903224
tmn6190_ann,false,91.80645161290323
tmp6190_ann,false,164.16129032258064
tmx6190_ann,false,232.70967741935485
vap6190_ann,false,148.09677419354838
